City,Design Level,PGA,EQgroup,District
,6 度,0.05g,第三组,城区、阳城县、泽州县、高平市
朔州市,8 度,0.20g,第二组,山阴县、应县、怀仁县
,7 度,0.15g,第二组,朔城区、平鲁区、右玉县
晋中市,8 度,0.20g,第二组,榆次区、太谷县、祁县、平遥县、灵石县、介休市
,7 度,0.10g,第三组,榆社县、和顺县、寿阳县
,7 度,0.10g,第二组,昔阳县
,6 度,0.05g,第三组,左权县
运城市,8 度,0.20g,第三组,永济市
,7 度,0.15g,第三组,临猗县、万荣县、闻喜县、稷山县、绛县
,7 度,0.15g,第二组,盐湖区、新绛县、夏县、平陆县、芮城县、河津市
,7 度,0.10g,第二组,垣曲县
忻州市,8 度,0.20g,第二组,忻府区、定襄县、五台县、代县、原平市
,7 度,0.15g,第三组,宁武县      
,7 度,0.15g,第二组,繁峙县
,7 度,0.10g,第三组,静乐县、神池县、五寨县
,6 度,0.05g,第三组,岢岚县、河曲县、保德县、偏关县
临汾市,8 度,0.30g,第二组,洪洞县
,8 度,0.20g,第二组,尧都区、襄汾县、古县、浮山县、汾西县、霍州市
,7 度,0.15g,第二组,曲沃县、翼城县、蒲县、侯马市
,7 度,0.10g,第三组,安泽县、吉县、乡宁县、隰县
,6 度,0.05g,第三组,大宁县、永和县
吕梁市,8 度,0.20g,第二组,文水县、交城县、孝义市、汾阳市
,7 度,0.10g,第三组,离石区、岚县、中阳县、交口县
,6 度,0.05g,第三组,兴县、临县、柳林县、石楼县、方山县
呼和浩特市,8 度,0.20g,第二组,新城区、回民区、玉泉区、赛罕区、土默特左旗
,7 度,0.15g,第二组,托克托县、和林格尔县、武川县
,7 度,0.10g,第二组,清水河县
包头市,8 度,0.30g,第二组,土默特右旗
,8 度,0.20g,第二组,东河区、石拐区、九原区、昆都仑区、青山区
,7 度,0.15g,第二组,固阳县
,6 度,0.05g,第三组,白云鄂博矿区、达尔罕茂明安联合旗
乌海市,8 度,0.20g,第二组,海勃湾区、海南区、乌达区
赤峰市,8 度,0.20g,第一组,元宝山区、宁城县
,7 度,0.15g,第一组,红山区、喀喇沁旗
,7 度,0.10g,第一组,松山区、阿鲁科尔沁旗、敖汉旗
,6 度,0.05g,第一组,巴林左旗、巴林右旗、林西县、克什克腾旗、翁牛特旗
通辽市,7 度,0.10g,第一组,科尔沁区、开鲁县
,6 度,0.05g,第一组,科尔沁左翼中旗、科尔沁左翼后旗、库伦旗、奈曼旗、扎鲁特旗、霍林郭勒市
鄂尔多斯市,8 度,0.20g,第二组,达拉特旗
,7 度,0.10g,第三组,东胜区、准格尔旗
,6 度,0.05g,第三组,鄂托克前旗、鄂托克旗、杭锦旗、伊金霍洛旗
,6 度,0.05g,第一组,乌审旗
呼伦贝尔市,7 度,0.10g,第一组,扎赉诺尔区、陈巴尔虎右旗、扎兰屯市
,6 度,0.05g,第一组,海拉尔区、阿荣旗、莫力达瓦达斡尔族自治旗、鄂伦春自治旗、鄂温克族自治旗、陈巴尔虎旗、新巴尔虎左旗、满洲里市、牙克石市、额尔古纳市、根河市
巴彦淖尔市,8 度,0.20g,第二组,杭锦后旗
,8 度,0.20g,第一组,磴口县、乌拉特前旗、乌拉特后旗
,7 度,0.15g,第二组,临河区、五原县
,7 度,0.10g,第二组,乌拉特中旗
乌兰察布市,7 度,0.15g,第二组,凉城县、察哈尔右翼前旗、丰镇市
,7 度,0.10g,第三组,察哈尔右翼中旗        
,7 度,0.10g,第二组,集宁区、卓资县、兴和县
,6 度,0.05g,第三组,四子王旗
,6 度,0.05g,第二组,化德县、商都县、察哈尔右翼后旗
兴安盟,6 度,0.05g,第一组,乌兰浩特市、阿尔山市、科尔沁右翼前旗、科尔沁右翼中旗、扎赉特旗、突泉县
锡林郭勒盟,6 度,0.05g,第三组,太仆寺旗
,6 度,0.05g,第二组,正蓝旗
,6 度,0.05g,第一组,二连浩特市、锡林浩特市、阿巴嘎旗、苏尼特左旗、苏尼特右旗、东乌珠穆沁旗、西乌珠穆沁旗、镶黄旗、正镶白旗、多伦县
阿拉善盟,8 度,0.20g,第二组,阿拉善左旗、阿拉善右旗
,6 度,0.05g,第一组,额济纳旗
沈阳市,7 度,0.10g,第一组,和平区、沈河区、大东区、皇姑区、铁西区、苏家屯区、浑南区（原东陵区）、沈北新区、于洪区、辽中县 
,6 度,0.05g,第一组,康平县、法库县、新民市
大连市,8 度,0.20g,第一组,瓦房店市、普兰店市
,7 度,0.15g,第一组,金州区
,7 度,0.10g,第二组,中山区、西岗区、沙河口区、甘井子区、旅顺口区
,6 度,0.05g,第二组,长海县
,6 度,0.05g,第一组,庄河市
鞍山市,8 度,0.20g,第二组,海城市
,7 度,0.10g,第二组,铁东区、铁西区、立山区、千山区、岫岩满族自治县
,7 度,0.10g,第一组,台安县
抚顺市,7 度,0.10g,第一组,新抚区、东洲区、望花区、顺城区、抚顺县1
,6 度,0.05g,第一组,新宾满族自治县、清原满族自治县
本溪市,7 度,0.10g,第二组,南芬区
,7 度,0.10g,第一组,平山区、溪湖区、明山区
,6 度,0.05g,第一组,本溪满族自治县、桓仁满族自治县
丹东市,8 度,0.20g,第一组,东港市
,7 度,0.15g,第一组,元宝区、振兴区、振安区
,6 度,0.05g,第二组,凤城市
,6 度,0.05g,第一组,宽甸满族自治县
锦州市,6 度,0.05g,第二组,古塔区、凌河区、太和区、凌海市
,6 度,0.05g,第一组,黑山县、义县、北镇市
营口市,8 度,0.20g,第二组,老边区、盖州市、大石桥市
,7 度,0.15g,第二组,站前区、西市区、鲅鱼圈区
阜新市,6 度,0.05g,第一组,海州区、新邱区、太平区、清河门区、细河区、阜新蒙古族自治县、彰武县
辽阳市,7 度,0.10g,第二组,弓长岭区、宏伟区、辽阳县
,7 度,0.10g,第一组,白塔区、文圣区、太子河区、灯塔市
盘锦市,7 度,0.10g,第二组,双台子区、兴隆台区、大洼县、盘山县
铁岭市,7 度,0.10g,第一组,银州区、清河区、铁岭县2、昌图县、开原市
,6 度,0.05g,第一组,西丰县、调兵山市
朝阳市,7 度,0.10g,第二组,凌源市
,7 度,0.10g,第一组,双塔区、龙城区、朝阳县3、建平县、北票市
,6 度,0.05g,第二组,喀喇沁左翼蒙古族自治县
葫芦岛市,6 度,0.05g,第二组,连山区、龙港区、南票区
,6 度,0.05g,第三组,绥中县、建昌县、兴城市
长春市,7 度,0.10g,第一组,南关区、宽城区、朝阳区、二道区、绿园区、双阳区、九台区
,6 度,0.05g,第一组,农安县、榆树市、德惠市
吉林市,8 度,0.20g,第一组,舒兰市
,7 度,0.10g,第一组,昌邑区、龙潭区、船营区、丰满区、永吉县
,6 度,0.05g,第一组,蛟河市、桦甸市、磐石市
四平市,7 度,0.10g,第一组,伊通满族自治县
,6 度,0.05g,第一组,铁西区、铁东区、梨树县、公主岭市、双辽市
辽源市,6 度,0.05g,第一组,龙山区、西安区、东丰县、东辽县
通化市,6 度,0.05g,第一组,东昌区、二道江区、通化县、辉南县、柳河县、梅河口市、集安市
白山市,6 度,0.05g,第一组,浑江区、江源区、抚松县、靖宇县、长白朝鲜族自治县、临江市
松原市,8 度,0.20g,第一组,宁江区、前郭尔罗斯蒙古族自治县
,7 度,0.10g,第一组,乾安县
,6 度,0.05g,第一组,长岭县、扶余市
白城市,7 度,0.15g,第一组,大安市
,7 度,0.10g,第一组,洮北区
,6 度,0.05g,第一组,镇赉县、通榆县、洮南市
延边朝鲜族自治州,7 度,0.15g,第一组,安图县
,6 度,0.05g,第一组,延吉市、图们市、敦化市、珲春市、龙井市、和龙市、汪清县
哈尔滨市,8 度,0.20g,第一组,方正县
,7 度,0.15g,第一组,依兰县、通河县、延寿县
,7 度,0.10g,第一组,道里区、南岗区、道外区、松北区、香坊区、呼兰区、尚志市、五常市
,6 度,0.05g,第一组,平房区、阿城区、宾县、巴彦县、木兰县、双城区
齐齐哈尔市,7 度,0.10g,第一组,昂昂溪区、富拉尔基区、泰来县
,6 度,0.05g,第一组,龙沙区、建华区、铁峰区、碾子山区、梅里斯达斡尔族区、龙江县、依安县、甘南县、富裕县、克山县、克东县、拜泉县、讷河市
鸡西市,6 度,0.05g,第一组,鸡冠区、恒山区、滴道区、梨树区、城子河区、麻山区、鸡东县、虎林市、密山市
鹤岗市,7 度,0.10g,第一组,向阳区、工农区、南山区、兴安区、东山区、兴山区、萝北县
,6 度,0.05g,第一组,绥滨县
双鸭山市,6 度,0.05g,第一组,尖山区、岭东区、四方台区、宝山区、集贤县、友谊县、宝清县、饶河县
大庆市,7 度,0.10g,第一组,肇源县
,6 度,0.05g,第一组,萨尔图区、龙凤区、让胡路区、红岗区、大同区、肇州县、林甸县、杜尔伯特蒙古族自治县
伊春市,6 度,0.05g,第一组,伊春区、南岔区、友好区、西林区、翠峦区、新青区、美溪区、金山屯区、五营区、乌马河区、汤旺河区、带岭区、乌伊岭区、红星区、上甘岭区、嘉荫县、铁力市
佳木斯市,7 度,0.10g,第一组,向阳区、前进区、东风区、郊区、汤原县
,6 度,0.05g,第一组,桦南县、桦川县、抚远县、同江市、富锦市
七台河市,6 度,0.05g,第一组,新兴区、桃山区、茄子河区、勃利县
牡丹江市,6 度,0.05g,第一组,东安区、阳明区、爱民区、西安区、东宁县、林口县、绥芬河市、海林市、宁安市、穆棱市
黑河市,6 度,0.05g,第一组,爱辉区、嫩江县、逊克县、孙吴县、北安市、五大连池市
绥化市,7 度,0.10g,第一组,北林区、庆安县
,6 度,0.05g,第一组,望奎县、兰西县、青冈县、明水县、绥棱县、安达市、肇东市、海伦市
大兴安岭地区,6 度,0.05g,第一组,加格达奇区、呼玛县、塔河县、漠河县
上海市,7 度,0.10g,第二组,黄浦区、徐汇区、长宁区、静安区、普陀区、闸北区、虹口区、杨浦区、闵行区、宝山区、嘉定区、浦东新区、金山区、松江区、青浦区、奉贤区、崇明县
南京市,7 度,0.10g,第二组,六合区
,7 度,0.10g,第一组,玄武区、秦淮区、建邺区、鼓楼区、浦口区、栖霞区、雨花台区、江宁区、溧水区
,6 度,0.05g,第一组,高淳区
无锡市,7 度,0.10g,第一组,崇安区、南长区、北塘区、锡山区、滨湖区、惠山区、宜兴市
,6 度,0.05g,第二组,江阴市
徐州市,8 度,0.20g,第二组,睢宁县、新沂市、邳州市
,7 度,0.10g,第三组,鼓楼区、云龙区、贾汪区、泉山区、铜山区
,7 度,0.10g,第二组,沛县
,6 度,0.05g,第二组,丰县
常州市,7 度,0.10g,第一组,天宁区、钟楼区、新北区、武进区、金坛区、溧阳市
苏州市,7 度,0.10g,第一组,虎丘区、吴中区、相城区、姑苏区、吴江区、常熟市、昆山市、太仓市
,6 度,0.05g,第二组,张家港市
南通市,7 度,0.10g,第二组,崇川区、港闸区、海安县、如东县、如皋市
,6 度,0.05g,第二组,通州区、启东市、海门市
连云港市,7 度,0.15g,第三组,东海县
,7 度,0.10g,第三组,连云区、海州区、赣榆区、灌云县
,6 度,0.05g,第三组,灌南县
淮安市,7 度,0.10g,第三组,清河区、淮阴区、清浦区
,7 度,0.10g,第二组,盱眙县
,6 度,0.05g,第三组,淮安区、涟水县、洪泽县、金湖县
盐城市,7 度,0.15g,第三组,大丰区
,7 度,0.10g,第三组,盐都区
,7 度,0.10g,第二组,亭湖区、射阳县、东台市
,6 度,0.05g,第三组,响水县、滨海县、阜宁县、建湖县
扬州市,7 度,0.15g,第二组,广陵区、江都区
,7 度,0.15g,第一组,邗江区、仪征市
,7 度,0.10g,第二组,高邮市
,6 度,0.05g,第三组,宝应县
镇江市,7 度,0.15g,第一组,京口区、润州区
,7 度,0.10g,第一组,丹徒区、丹阳市、扬中市、句容市
泰州市,7 度,0.10g,第二组,海陵区、高港区、姜堰区、兴化市
,6 度,0.05g,第二组,靖江市
,6 度,0.05g,第一组,泰兴市
宿迁市,8 度,0.30g,第二组,宿城区、宿豫区
,8 度,0.20g,第二组,泗洪县
,7 度,0.15g,第三组,沭阳县
,7 度,0.10g,第三组,泗阳县
杭州市,7 度,0.10g,第一组,上城区、下城区、江干区、拱墅区、西湖区、余杭区
,6 度,0.05g,第一组,滨江区、萧山区、富阳区、桐庐县、淳安县、建德市、临安市
宁波市,7 度,0.10g,第一组,海曙区、江东区、江北区、北仑区、镇海区、鄞州区
,6 度,0.05g,第一组,象山县、宁海县、余姚市、慈溪市、奉化市
温州市,6 度,0.05g,第二组,洞头区、平阳县、苍南县、瑞安市
,6 度,0.05g,第一组,鹿城区、龙湾区、瓯海区、永嘉县、文成县、泰顺县、乐清市
嘉兴市,7 度,0.10g,第一组,南湖区、秀洲区、嘉善县、海宁市、平湖市、桐乡市
,6 度,0.05g,第一组,海盐县
湖州市,6 度,0.05g,第一组,吴兴区、南浔区、德清县、长兴县、安吉县
绍兴市,6 度,0.05g,第一组,越城区、柯桥区、上虞区、新昌县、诸暨市、嵊州市
金华市,6 度,0.05g,第一组,婺城区、金东区、武义县、浦江县、磐安县、兰溪市、义乌市、东阳市、永康市
衢州市,6 度,0.05g,第一组,柯城区、衢江区、常山县、开化县、龙游县、江山市
舟山市,7 度,0.10g,第一组,定海区、普陀区、岱山县
,6 度,0.05g,第一组,嵊泗县
台州市,6 度,0.05g,第二组,玉环县
,6 度,0.05g,第一组,椒江区、黄岩区、路桥区、三门县、天台县、仙居县、温岭市、临海市
丽水市,6 度,0.05g,第二组,庆元县
,6 度,0.05g,第一组,莲都区、青田县、缙云县、遂昌县、松阳县、云和县、景宁畲族自治县、龙泉市
合肥市,7 度,0.10g,第一组,瑶海区、庐阳区、蜀山区、包河区、长丰县、肥东县、肥西县、庐江县、巢湖市
芜湖市,6 度,0.05g,第一组,镜湖区、弋江区、鸠江区、三山区、芜湖县、繁昌县、南陵县、无为县
蚌埠市,7 度,0.15g,第二组,五河县
,7 度,0.10g,第二组,固镇县
,7 度,0.10g,第一组,龙子湖区、蚌山区、禹会区、淮上区、怀远县
淮南市,7 度,0.10g,第一组,大通区、田家庵区、谢家集区、八公山区、潘集区、凤台县
马鞍山市,6 度,0.05g,第一组,花山区、雨山区、博望区、当涂县、含山县、和县
淮北市,6 度,0.05g,第三组,杜集区、相山区、烈山区、濉溪县
铜陵市,7 度,0.10g,第一组,铜官山区、狮子山区、郊区、铜陵县
安庆市,7 度,0.10g,第一组,迎江区、大观区、宜秀区、枞阳县、桐城市
,6 度,0.05g,第一组,怀宁县、潜山县、太湖县、宿松县、望江县、岳西县
黄山市,6 度,0.05g,第一组,屯溪区、黄山区、徽州区、歙县、休宁县、黟县、祁门县
滁州市,7 度,0.10g,第二组,天长市、明光市
,7 度,0.10g,第一组,定远县、凤阳县
,6 度,0.05g,第二组,琅琊区、南谯区、来安县、全椒县
阜阳市,7 度,0.10g,第一组,颍州区、颍东区、颍泉区
,6 度,0.05g,第一组,临泉县、太和县、阜南县、颍上县、界首市
宿州市,7 度,0.15g,第二组,泗县
,7 度,0.10g,第三组,萧县
,7 度,0.10g,第二组,灵璧县
,6 度,0.05g,第三组,埇桥区
,6 度,0.05g,第二组,砀山县
六安市,7 度,0.15g,第一组,霍山县
,7 度,0.10g,第一组,金安区、裕安区、寿县、舒城县
,6 度,0.05g,第一组,霍邱县、金寨县
亳州市,7 度,0.10g,第二组,谯城区、涡阳县
,6 度,0.05g,第二组,蒙城县
,6 度,0.05g,第一组,利辛县
池州市,7 度,0.10g,第一组,贵池区
,6 度,0.05g,第一组,东至县、石台县、青阳县
宣城市,7 度,0.10g,第一组,郎溪县
,6 度,0.05g,第一组,宣州区、广德县、泾县、绩溪县、旌德县、宁国市
福州市,7 度,0.10g,第三组,鼓楼区、台江区、仓山区、马尾区、晋安区、平潭县、福清市、长乐市
,6 度,0.05g,第三组,连江县、永泰县
,6 度,0.05g,第二组,闽侯县、罗源县、闽清县
厦门市,7 度,0.15g,第三组,思明区、湖里区、集美区、翔安区
,7 度,0.15g,第二组,海沧区
,7 度,0.10g,第三组,同安区
莆田市,7 度,0.10g,第三组,城厢区、涵江区、荔城区、秀屿区、仙游县
三明市,6 度,0.05g,第一组,梅列区、三元区、明溪县、清流县、宁化县、大田县、尤溪县、沙县、将乐县、泰宁县、建宁县、永安市
泉州市,7 度,0.15g,第三组,鲤城区、丰泽区、洛江区、石狮市、晋江市
,7 度,0.10g,第三组,泉港区、惠安县、安溪县、永春县、南安市
,6 度,0.05g,第三组,德化县
漳州市,7 度,0.15g,第三组,漳浦县
,7 度,0.15g,第二组,芗城区、龙文区、诏安县、长泰县、东山县、南靖县、龙海市
,7 度,0.10g,第三组,云霄县
,7 度,0.10g,第二组,平和县、华安县
南平市,6 度,0.05g,第二组,政和县
,6 度,0.05g,第一组,延平区、建阳区、顺昌县、浦城县、光泽县、松溪县、邵武市、武夷山市、建瓯市
龙岩市,6 度,0.05g,第二组,新罗区、永定区、漳平市
,6 度,0.05g,第一组,长汀县、上杭县、武平县、连城县
宁德市,6 度,0.05g,第二组,蕉城区、霞浦县、周宁县、柘荣县、福安市、福鼎市
,6 度,0.05g,第一组,古田县、屏南县、寿宁县
南昌市,6 度,0.05g,第一组,东湖区、西湖区、青云谱区、湾里区、青山湖区、新建区、南昌县、安义县、进贤县
景德镇市,6 度,0.05g,第一组,昌江区、珠山区、浮梁县、乐平市
萍乡市,6 度,0.05g,第一组,安源区、湘东区、莲花县、上栗县、芦溪县
九江市,6 度,0.05g,第一组,庐山区、浔阳区、九江县、武宁县、修水县、永修县、德安县、星子县、都昌县、湖口县、彭泽县、瑞昌市、共青城市
新余市,6 度,0.05g,第一组,渝水区、分宜县
鹰潭市,6 度,0.05g,第一组,月湖区、余江县、贵溪市
赣州市,7 度,0.10g,第一组,安远县、会昌县、寻乌县、瑞金市
,6 度,0.05g,第一组,章贡区、南康区、赣县、信丰县、大余县、上犹县、崇义县、龙南县、定南县、全南县、宁都县、于都县、兴国县、石城县
吉安市,6 度,0.05g,第一组,吉州区、青原区、吉安县、吉水县、峡江县、新干县、永丰县、泰和县、遂川县、万安县、安福县、永新县、井冈山市
宜春市,6 度,0.05g,第一组,袁州区、奉新县、万载县、上高县、宜丰县、靖安县、铜鼓县、丰城市、樟树市、高安市
抚州市,6 度,0.05g,第一组,临川区、南城县、黎川县、南丰县、崇仁县、乐安县、宜黄县、金溪县、资溪县、东乡县、广昌县
上饶市,6 度,0.05g,第一组,信州区、广丰区、上饶县、玉山县、铅山县、横峰县、弋阳县、余干县、鄱阳县、万年县、婺源县、德兴市
济南市,7 度,0.10g,第三组,长清区
,7 度,0.10g,第二组,平阴县
,6 度,0.05g,第三组,历下区、市中区、槐荫区、天桥区、历城区、济阳县、商河县、章丘市
青岛市,7 度,0.10g,第三组,黄岛区、平度市、胶州市、即墨市
,7 度,0.10g,第二组,市南区、市北区、崂山区、李沧区、城阳区
,6 度,0.05g,第三组,莱西市
淄博市,7 度,0.15g,第二组,临淄区
,7 度,0.10g,第三组,张店区、周村区、桓台县、高青县、沂源县
,7 度,0.10g,第二组,淄川区、博山区
枣庄市,7 度,0.15g,第三组,山亭区
,7 度,0.15g,第二组,台儿庄区
,7 度,0.10g,第三组,市中区、薛城区、峄城区
,7 度,0.10g,第二组,滕州市
东营市,7 度,0.10g,第三组,东营区、河口区、垦利县、广饶县
,6 度,0.05g,第三组,利津县
烟台市,7 度,0.15g,第三组,龙口市
,7 度,0.15g,第二组,长岛县、蓬莱市
,7 度,0.10g,第三组,莱州市、招远市、栖霞市
,7 度,0.10g,第二组,芝罘区、福山区、莱山区
,7 度,0.10g,第一组,牟平区
,6 度,0.05g,第三组,莱阳市、海阳市
潍坊市,8 度,0.20g,第二组,潍城区、坊子区、奎文区、安丘市
,7 度,0.15g,第三组,诸城市
,7 度,0.15g,第二组,寒亭区、临朐县、昌乐县、青州市、寿光市、昌邑市
,7 度,0.10g,第三组,高密市
济宁市,7 度,0.10g,第三组,微山县、梁山县
,7 度,0.10g,第二组,兖州区、汶上县、泗水县、曲阜市、邹城市
,6 度,0.05g,第三组,任城区、金乡县、嘉祥县
,6 度,0.05g,第二组,鱼台县
泰安市,7 度,0.10g,第三组,新泰市、肥城市
,7 度,0.10g,第二组,泰山区、岱岳区、宁阳县
,6 度,0.05g,第三组,东平县
威海市,7 度,0.10g,第一组,环翠区、文登区、荣成市
,6 度,0.05g,第二组,乳山市
日照市,8 度,0.20g,第二组,莒县
,7 度,0.15g,第三组,五莲县
,7 度,0.10g,第三组,东港区、岚山区
莱芜市,7 度,0.10g,第三组,钢城区
,7 度,0.10g,第二组,莱城区
临沂市,8 度,0.20g,第二组,兰山区、罗庄区、河东区、郯城县、沂水县、莒南县、临沭县
,7 度,0.15g,第二组,沂南县、兰陵县、费县
,7 度,0.10g,第三组,平邑县、蒙阴县
德州市,7 度,0.15g,第二组,平原县、禹城市
,7 度,0.10g,第三组,临邑县、齐河县
,7 度,0.10g,第二组,德城区、陵城区、夏津县
,6 度,0.05g,第三组,宁津县、庆云县、武城县、乐陵市
聊城市,8 度,0.20g,第二组,阳谷县、莘县
,7 度,0.15g,第二组,东昌府区、茌平县、高唐县
,7 度,0.10g,第三组,冠县、临清市
,7 度,0.10g,第二组,东阿县
滨州市,7 度,0.10g,第三组,滨城区、博兴县、邹平县
,6 度,0.05g,第三组,沾化区、惠民县、阳信县、无棣县
菏泽市,8 度,0.20g,第二组,鄄城县、东明县
,7 度,0.15g,第二组,牡丹区、郓城县、定陶县
,7 度,0.10g,第三组,巨野县
,7 度,0.10g,第二组,曹县、单县、成武县
郑州市,7 度,0.15g,第二组,中原区、二七区、管城回族区、金水区、惠济区
,7 度,0.10g,第二组,上街区、中牟县、巩义市、荥阳市、新密市、新郑市、登封市
开封市,7 度,0.15g,第二组,兰考县
,7 度,0.10g,第二组,龙亭区、顺河回族区、鼓楼区、禹王台区、祥符区、通许县、尉氏县
,6 度,0.05g,第二组,杞县
洛阳市,7 度,0.10g,第二组,老城区、西工区、瀍河回族区、涧西区、吉利区、洛龙区、孟津县、新安县、宜阳县、偃师市
,6 度,0.05g,第三组,洛宁县
,6 度,0.05g,第二组,嵩县、伊川县
,6 度,0.05g,第一组,栾川县、汝阳县
平顶山市,6 度,0.05g,第一组,新华区、卫东区、石龙区、湛河区1、宝丰县、叶县、鲁山县、舞钢市
,6 度,0.05g,第二组,郏县、汝州市
安阳市,8 度,0.20g,第二组,文峰区、殷都区、龙安区、北关区、安阳县2、汤阴县
,7 度,0.15g,第二组,滑县、内黄县
,7 度,0.10g,第二组,林州市
鹤壁市,8 度,0.20g,第二组,山城区、淇滨区、淇县
,7 度,0.15g,第二组,鹤山区、浚县
新乡市,8 度,0.20g,第二组,红旗区、卫滨区、凤泉区、牧野区、新乡县、获嘉县、原阳县、延津县、卫辉市、辉县市
,7 度,0.15g,第二组,封丘县、长垣县
焦作市,7 度,0.15g,第二组,修武县、武陟县
,7 度,0.10g,第二组,解放区、中站区、马村区、山阳区、博爱县、温县、沁阳市、孟州市
濮阳市,8 度,0.20g,第二组,范县
,7 度,0.15g,第二组,华龙区、清丰县、南乐县、台前县、濮阳县
许昌市,7 度,0.10g,第一组,魏都区、许昌县、鄢陵县、禹州市、长葛市
,6 度,0.05g,第二组,襄城县
漯河市,7 度,0.10g,第一组,舞阳县
,6 度,0.05g,第一组,召陵区、源汇区、郾城区、临颍县
三门峡市,7 度,0.15g,第二组,湖滨区、陕州区、灵宝市
,6 度,0.05g,第三组,渑池县、卢氏县
,6 度,0.05g,第二组,义马市
南阳市,7 度,0.10g,第一组,宛城区、卧龙区、西峡县、镇平县、内乡县、唐河县
